,mota,MOTP,MT,ML,ID,FM,FP,FN,RuntimeSeconds
MOT16-09,0.4302834316149895,0.7449608030398271,75,100,75,155,366,2554,0.5444762499973876
OVERALL,0.4302834316149895,0.7449608030398271,75,100,75,155,366,2554,
